,0
0,0.386255444939578
1,0.5346653663846828
2,0.413656137962277
3,0.3979214456252048
4,-0.06856992695455884
5,0.33525948917734066
6,0.5358697074333267
7,-0.32271470128827523
8,-0.17028585161976298
9,1.5816344640723081
10,0.36264811772519134
11,-0.4793782182521997
12,0.6673877149311629
13,-0.03986379628005549
14,-1.5700483091787356
15,0.7699057472221869
16,0.5135095812329364
17,-0.4774992246532968
18,0.34854583064259526
19,-0.2213761499500563
20,0.5835827490594054
21,-0.13765688836541648
22,-0.5700907987905245
23,-0.2245074588606919
24,-0.04797839195383736
25,0.9724931778130318
26,-0.7899493282646679
27,-0.43343596927288314
28,0.7955450685426438
29,0.28584648917191025
30,0.3844077961019403
31,-0.43283797431828014
32,-0.13957450922341094
33,-0.05814411260577796
34,-0.722423445190996
35,0.5067241877952288
36,0.2953111011139995
37,0.8213579375276734
38,0.7716585549576671
39,-0.07837640157801029
40,0.9818227727684938
