date,0,Percent Change,100
2015-02-13 10:15:00+05:30,-0.043986427,0.043986427,103.6886202
2015-02-13 10:40:00+05:30,-0.079485801,0.079485801,103.7710379
2015-02-16 09:50:00+05:30,0.005709731,-0.005709731,103.7651129
2015-02-16 10:35:00+05:30,-0.165310705,0.165310705,103.9366477
2015-02-16 13:30:00+05:30,0.008213017,-0.008213017,103.9281114
2015-02-18 10:35:00+05:30,0.007569937,-0.007569937,103.9202441
2015-02-18 11:15:00+05:30,0.002655067,-0.002655067,103.917485
2015-02-18 14:15:00+05:30,0.020362233,-0.020362233,103.896325
2015-02-19 09:20:00+05:30,-0.051754593,0.051754593,103.9500962
2015-02-19 11:25:00+05:30,0.015245371,-0.015245371,103.9342486
2015-02-19 13:45:00+05:30,-0.304032249,0.304032249,104.2502422
2015-02-19 15:15:00+05:30,-0.266832946,0.266832946,104.5284162
2015-02-20 10:45:00+05:30,-0.005767893,0.005767893,104.5344453
2015-02-20 12:05:00+05:30,-0.06374493,0.06374493,104.6010807
2015-02-20 13:30:00+05:30,-0.01746656,0.01746656,104.6193509
2015-02-20 14:10:00+05:30,0.00863246,-0.00863246,104.6103197
2015-02-23 11:40:00+05:30,-0.018100264,0.018100264,104.6292544
2015-02-23 12:15:00+05:30,0.00576698,-0.00576698,104.6232205
2015-02-23 14:20:00+05:30,0.020531539,-0.020531539,104.6017397
2015-02-24 10:40:00+05:30,-0.278424392,0.278424392,104.8929765
2015-02-24 11:35:00+05:30,0.011361041,-0.011361041,104.8810595
2015-02-24 12:15:00+05:30,0.007990229,-0.007990229,104.8726793
2015-02-24 14:20:00+05:30,-0.129194535,0.129194535,105.0081691
2015-02-25 10:30:00+05:30,-0.007937273,0.007937273,105.0165039
2015-02-25 11:20:00+05:30,0.00748469,-0.00748469,105.0086437
2015-02-25 11:50:00+05:30,0.001587149,-0.001587149,105.0069771
2015-02-25 12:15:00+05:30,0.000453695,-0.000453695,105.0065006
2015-02-25 13:20:00+05:30,0.004823078,-0.004823078,105.0014361
2015-02-25 14:05:00+05:30,0.008666055,-0.008666055,104.9923366
2015-02-26 12:35:00+05:30,0.03268761,-0.03268761,104.9580171
2015-02-26 14:10:00+05:30,0.010679712,-0.010679712,104.9468079
2015-02-27 09:40:00+05:30,-0.030342238,0.030342238,104.9786511
2015-02-27 10:35:00+05:30,-0.116774282,0.116774282,105.1012392
2015-02-27 12:20:00+05:30,-0.04739742,0.04739742,105.1510545
2015-02-27 14:30:00+05:30,-0.055646945,0.055646945,105.2095678
2015-02-27 15:10:00+05:30,0.011481251,-0.011481251,105.1974884
2015-02-28 10:00:00+05:30,0.008540429,-0.008540429,105.1885041
2015-02-28 11:15:00+05:30,-0.154955198,0.154955198,105.3514992
2015-02-28 13:50:00+05:30,0.017075336,-0.017075336,105.3335101
2015-03-02 10:35:00+05:30,-0.180605335,0.180605335,105.523748
2015-03-02 12:10:00+05:30,0.030076456,-0.030076456,105.4920102
2015-03-02 12:55:00+05:30,-0.134073073,0.134073073,105.6334466
2015-03-02 13:50:00+05:30,0.002187202,-0.002187202,105.6311362
2015-03-02 15:20:00+05:30,-0.308540375,0.308540375,105.9570509
2015-03-03 10:25:00+05:30,0.002568053,-0.002568053,105.9543298
2015-03-03 12:00:00+05:30,0.008595957,-0.008595957,105.945222
2015-03-03 13:00:00+05:30,0.004012215,-0.004012215,105.9409713
2015-03-04 10:40:00+05:30,-0.201591804,0.201591804,106.1545396
2015-03-04 11:15:00+05:30,-0.032554957,0.032554957,106.1890982
2015-03-04 13:00:00+05:30,-0.022654812,0.022654812,106.2131551
2015-03-04 13:40:00+05:30,0.006576548,-0.006576548,106.20617
2015-03-04 14:20:00+05:30,-0.476846809,0.476846809,106.7126107
2015-03-04 15:00:00+05:30,-0.180373968,0.180373968,106.9050925
2015-03-05 10:30:00+05:30,-0.107549167,0.107549167,107.020068
2015-03-05 12:35:00+05:30,-0.324153661,0.324153661,107.3669775
2015-03-05 13:25:00+05:30,0.028185211,-0.028185211,107.3367159
2015-03-09 09:30:00+05:30,0.000510682,-0.000510682,107.3361677
2015-03-09 10:10:00+05:30,-0.032048919,0.032048919,107.3705678
2015-03-09 13:15:00+05:30,-0.01537069,0.01537069,107.3870714
2015-03-09 15:00:00+05:30,-0.121538576,0.121538576,107.5175881
2015-03-10 09:30:00+05:30,0.005030785,-0.005030785,107.5121791
2015-03-10 10:35:00+05:30,0.013822174,-0.013822174,107.4973186
2015-03-10 12:30:00+05:30,-0.069065504,0.069065504,107.5715622
