,0
0,-0.08295003104598171
1,0.02379140852385103
2,-0.2212974651051968
3,0.05297448699994353
4,-0.26831309663880487
5,0.10747429371882247
6,-0.0019314574053178686
7,-0.2540556531608969
8,0.03495446243907775
9,0.10510528671127176
10,-0.02877801359761142
11,-0.007083726039907468
12,-0.011646125862234968
13,-0.06718132359204142
14,0.003866298562834002
15,-0.07291352817114029
16,-0.10232400994280827
17,-0.25573932959069773
18,-0.021222285758077733
19,0.06745046606398256
20,0.04302181486591947
21,0.06585607074291529
22,-0.1339718406790387
23,0.10703733084997362
24,-0.02144433932513903
25,-0.06118314192076997
26,0.03093793506470768
27,0.07029897066304347
28,0.03620353926714444
29,0.03544943595372445
30,0.11170534186464401
31,0.08552833339012422
32,-0.012141568418322738
33,0.047266050054411916
34,-0.08465656371312166
35,0.03877151932358465
36,-0.078616793670225
37,0.017537392625363725
38,0.08621897826587593
39,-0.15128049738514007
40,-0.38055490110284307
41,0.06442768246517935
42,0.0010138731644564695
43,0.0849271248676468
44,0.007596661937391735
45,-0.19445034252316085
46,-0.051764202803144116
47,0.07732367259141773
48,-0.03395163024411222
49,0.10562314802656826
50,0.02608404733687547
51,0.2569222804412584
52,-0.012768698447818368
53,-0.004791402854316264
54,0.013689722440856762
55,0.02400150866625902
56,0.013949871935594414
57,-0.008559543034510512
58,-0.20852506244890529
59,-0.02334502473327115
60,-0.18889386784322523
61,0.02036121016910241
62,0.018775340950967556
63,-0.02136258660507243
64,-0.03960739030020911
65,-0.038204393505235315
66,0.2105164725340902
67,0.08044930176077461
68,0.030654467043537397
69,0.04749065685661661
70,-0.20124726502626747
71,0.2512238357418777
72,0.0731738578236722
73,0.11101220086925241
74,-0.10619797342730922
75,0.026346007006166725
76,0.286037549057743
77,0.08180719531467628
78,0.0960890479399539
79,-0.03518914163629841
80,-0.03133684824503627
81,-0.06130127977861922
82,0.0632027632836139
83,-0.1322485641100835
84,0.07839183456150241
85,0.02655067224042892
86,0.09092498688581346
87,-0.05985531215896311
88,0.09838648432673339
89,-0.24322579914620543
90,-0.21346635657869606
91,-0.02103584575972807
92,-0.050995944017297595
93,0.03222862036714648
94,0.06228912535686561
95,-0.022003133608233975
96,0.034262646365380026
97,0.08429337287557431
98,-0.22273951344196116
99,0.06976478648093007
100,0.08229935964020142
101,-0.013605442176859953
102,-0.006349818293136265
103,0.06089816284871523
104,0.052997117501536996
105,0.057583653084150394
106,0.06571929945292433
107,0.08233713439211435
108,-0.024273790031729553
109,-0.0934194257452847
110,-0.05897585070097658
111,-0.0697713993987139
112,0.0751088739324633
113,0.09821493788523399
114,-0.06052235621725738
115,0.2352981353732594
116,-0.1444842683247285
117,0.22082302675961074
118,-0.10725845810355746
119,0.07301889966911396
120,-0.24683230021591923
121,-0.0006699269779821496
122,0.057827344072692355
123,0.04446871586831181
124,-0.16127344330918364
125,-0.026043965745570122
126,-0.018123849991997582
127,0.029953687840581684
