Percent Change,Percent Change1,date
0.001294121,0.1294121,21-01-2015 04:05
0.000244673,0.0244673,21-01-2015 04:05
0.003171866,0.3171866,21-01-2015 04:25
-0.001520708,-0.1520708,22-01-2015 03:45
0.001381436,0.1381436,21-01-2015 05:45
-0.002582009,-0.2582009,21-01-2015 06:05
-0.000782056,-0.0782056,21-01-2015 08:05
0.004587076,0.4587076,21-01-2015 08:05
0.000571966,0.0571966,22-01-2015 03:45
-0.0015204,-0.15204,22-01-2015 03:45
-0.00055169,-0.055169,21-01-2015 09:15
-0.001345449,-0.1345449,22-01-2015 03:45
-0.000618605,-0.0618605,22-01-2015 04:10
0.001740018,0.1740018,22-01-2015 04:10
-0.000545772,-0.0545772,22-01-2015 04:45
-0.000641072,-0.0641072,22-01-2015 05:00
-0.000104155,-0.0104155,22-01-2015 08:05
-0.001667149,-0.1667149,22-01-2015 09:30
-0.00057371,-0.057371,23-01-2015 03:45
0.001735519,0.1735519,23-01-2015 03:45
0.005233092,0.5233092,23-01-2015 03:45
-0.000815048,-0.0815048,23-01-2015 03:45
0.000222995,0.0222995,23-01-2015 04:45
-0.00092762,-0.092762,23-01-2015 04:45
-0.000786148,-0.0786148,23-01-2015 04:45
-0.000368303,-0.0368303,23-01-2015 04:45
0.000701838,0.0701838,23-01-2015 04:45
0.000498759,0.0498759,23-01-2015 04:45
-0.000943329,-0.0943329,23-01-2015 04:45
-0.00097893,-0.097893,23-01-2015 07:40
-0.000458077,-0.0458077,23-01-2015 07:40
-0.001083948,-0.1083948,23-01-2015 08:25
-0.000443426,-0.0443426,23-01-2015 09:30
-0.000502388,-0.0502388,23-01-2015 09:30
-0.000998616,-0.0998616,23-01-2015 09:30
-0.000790907,-0.0790907,27-01-2015 04:10
0.001006709,0.1006709,27-01-2015 03:55
-0.000534924,-0.0534924,27-01-2015 04:20
-0.000953348,-0.0953348,27-01-2015 04:45
0.0039178,0.39178,27-01-2015 06:55
-0.001002265,-0.1002265,27-01-2015 08:00
-0.000359434,-0.0359434,27-01-2015 08:00
-0.000477672,-0.0477672,27-01-2015 08:55
-0.000115757,-0.0115757,27-01-2015 08:55
-0.001146672,-0.1146672,27-01-2015 09:30
-0.000417191,-0.0417191,27-01-2015 09:30
-0.00063994,-0.063994,27-01-2015 09:30
7.60E-05,0.0076,27-01-2015 09:30
0.002352597,0.2352597,27-01-2015 09:30
0.00088168,0.088168,27-01-2015 09:30
-0.000342474,-0.0342474,28-01-2015 05:35
0.004761597,0.4761597,28-01-2015 05:35
-0.0008791,-0.08791,28-01-2015 05:30
-0.000757507,-0.0757507,28-01-2015 05:30
0.005435931,0.5435931,28-01-2015 05:45
-0.000888127,-0.0888127,28-01-2015 05:45
0.002828842,0.2828842,28-01-2015 05:45
-0.001079035,-0.1079035,28-01-2015 05:45
0.001150527,0.1150527,28-01-2015 06:45
-0.000432144,-0.0432144,28-01-2015 06:45
0.002727873,0.2727873,28-01-2015 06:45
-0.000268497,-0.0268497,28-01-2015 06:50
-0.000457725,-0.0457725,28-01-2015 06:50
0.002432499,0.2432499,28-01-2015 06:50
-0.001468571,-0.1468571,28-01-2015 07:15
-0.000162508,-0.0162508,28-01-2015 07:15
-0.001061081,-0.1061081,29-01-2015 03:45
0.001940973,0.1940973,29-01-2015 03:45
-0.000781745,-0.0781745,29-01-2015 03:45
0.001600055,0.1600055,29-01-2015 03:45
