,Percent Change neg,,,Percent Change
187,0.045433632,,,-0.045433632
188,0.033054425,,,-0.033054425
189,-0.136505956,,,0.136505956
190,-0.143514366,,,0.143514366
191,-0.025113415,,,0.025113415
192,-0.083927093,,,0.083927093
193,0.072681748,,,-0.072681748
194,-0.173438476,,,0.173438476
195,0.015300711,,,-0.015300711
196,-0.030038687,,,0.030038687
197,-0.439292532,,,0.439292532
198,0.141304976,,,-0.141304976
199,-0.118173824,,,0.118173824
200,-0.027984058,,,0.027984058
201,-0.177993434,,,0.177993434
202,-0.189063309,,,0.189063309
203,0.267184578,,,-0.267184578
204,0.001139147,,,-0.001139147
205,-0.111443513,,,0.111443513
206,-0.205224307,,,0.205224307
207,0.015569726,,,-0.015569726
208,-0.92496249,,,0.92496249
209,-0.079613572,,,0.079613572
210,0.003260287,,,-0.003260287
211,-0.121563559,,,0.121563559
212,0.017707672,,,-0.017707672
213,-0.176492524,,,0.176492524
214,0.016682902,,,-0.016682902
215,0.03707624,,,-0.03707624
216,-0.042589189,,,0.042589189
217,-0.038667373,,,0.038667373
218,-0.039000198,,,0.039000198
219,0.013516742,,,-0.013516742
220,-0.178094805,,,0.178094805
221,-0.092537959,,,0.092537959
222,-0.04066727,,,0.04066727
223,-0.07391251,,,0.07391251
224,0.011948481,,,-0.011948481
225,-0.043907665,,,0.043907665
226,-0.105458657,,,0.105458657
227,0.008204503,,,-0.008204503
228,-0.538652665,,,0.538652665
229,-0.050508031,,,0.050508031
230,0.023045015,,,-0.023045015
231,-0.174066059,,,0.174066059
232,-0.489366513,,,0.489366513
233,-0.493043369,,,0.493043369
234,0.032377903,,,-0.032377903
235,0.015349651,,,-0.015349651
236,-0.077018487,,,0.077018487
237,0.104139608,,,-0.104139608
238,-0.278472981,,,0.278472981
239,-0.007659359,,,0.007659359
240,-0.051844302,,,0.051844302
241,-0.056548759,,,0.056548759
242,0.06366348,,,-0.06366348
243,0.18408007,,,-0.18408007
244,0.016780968,,,-0.016780968
245,-0.072809031,,,0.072809031
246,-0.04785606,,,0.04785606
247,0.098427253,,,-0.098427253
248,-0.036192356,,,0.036192356
249,-0.161231811,,,0.161231811
250,-0.12739221,,,0.12739221
251,-0.090078125,,,0.090078125
252,0.19242904,,,-0.19242904
253,-0.049607845,,,0.049607845
254,0.032039136,,,-0.032039136
255,0.020441443,,,-0.020441443
256,-0.099295891,,,0.099295891
257,0.037563971,,,-0.037563971
258,0.012491978,,,-0.012491978
259,-0.072883123,,,0.072883123
260,-0.022285205,,,0.022285205
261,-0.002169854,,,0.002169854
262,0.090337852,,,-0.090337852
263,0.037024975,,,-0.037024975
264,0.005704441,,,-0.005704441
265,-0.082587908,,,0.082587908
266,-0.151948134,,,0.151948134
267,0.002312018,,,-0.002312018
268,0.040433213,,,-0.040433213
269,-0.100798178,,,0.100798178
270,-0.001620211,,,0.001620211
271,-0.163292684,,,0.163292684
272,-1.72518854,,,1.72518854
273,0.012006861,,,-0.012006861
274,-0.045990636,,,0.045990636
275,0.075112461,,,-0.075112461
276,-0.170759252,,,0.170759252
277,-0.393012065,,,0.393012065
278,0.004409644,,,-0.004409644
279,-0.223642173,,,0.223642173
280,-0.086358893,,,0.086358893
281,-0.066357001,,,0.066357001
282,-0.408462357,,,0.408462357
283,-0.099772542,,,0.099772542
284,-0.148564784,,,0.148564784
285,-0.030987057,,,0.030987057
286,-0.442311457,,,0.442311457
287,-1.086728865,,,1.086728865
288,-0.238154095,,,0.238154095
289,0.001333592,,,-0.001333592
290,0.041100624,,,-0.041100624
291,-0.056805768,,,0.056805768
292,-0.108356212,,,0.108356212
293,0.02131508,,,-0.02131508
294,0.012534836,,,-0.012534836
295,-0.031695721,,,0.031695721
296,-0.17833714,,,0.17833714
297,0.146682004,,,-0.146682004
298,-0.036282496,,,0.036282496
299,0.00097002,,,-0.00097002
300,0.031313284,,,-0.031313284
301,-0.044654775,,,0.044654775
302,0.002571355,,,-0.002571355
303,0.034743461,,,-0.034743461
304,0.018095232,,,-0.018095232
305,-0.061405434,,,0.061405434
306,-0.180689962,,,0.180689962
307,0.012628009,,,-0.012628009
308,0.080443461,,,-0.080443461
309,-0.01198107,,,0.01198107
310,-0.172092632,,,0.172092632
311,-0.200728808,,,0.200728808
312,0.011320499,,,-0.011320499
313,0.037237082,,,-0.037237082
314,0.019087142,,,-0.019087142
315,0.048083195,,,-0.048083195
316,-0.136495226,,,0.136495226
317,-0.514207889,,,0.514207889
318,0.292468396,,,-0.292468396
319,0.023292735,,,-0.023292735
320,0.021970377,,,-0.021970377
321,-0.087127515,,,0.087127515
322,0.085273146,,,-0.085273146
323,-0.955166748,,,0.955166748
324,0.024418314,,,-0.024418314
325,0.060522561,,,-0.060522561
326,-0.060089401,,,0.060089401
327,0.099441102,,,-0.099441102
328,0.204586862,,,-0.204586862
329,0.001212018,,,-0.001212018
330,-0.077450429,,,0.077450429
331,0.062217877,,,-0.062217877
332,0.019631459,,,-0.019631459
333,-0.192320406,,,0.192320406
334,0.006867718,,,-0.006867718
335,0.029670727,,,-0.029670727
336,-0.062805638,,,0.062805638
337,0.015103839,,,-0.015103839
338,0.012097402,,,-0.012097402
339,0.030797069,,,-0.030797069
340,-0.041603902,,,0.041603902
341,-0.055657634,,,0.055657634
342,0.005590712,,,-0.005590712
343,0.032458847,,,-0.032458847
344,-0.558397704,,,0.558397704
345,0.017934344,,,-0.017934344
346,-0.086744761,,,0.086744761
347,0.001424713,,,-0.001424713
348,-0.012162996,,,0.012162996
349,-0.11543189,,,0.11543189
350,0.02175968,,,-0.02175968
351,-0.028019186,,,0.028019186
352,0.026612017,,,-0.026612017
353,-0.028543904,,,0.028543904
354,-0.032303053,,,0.032303053
355,-0.063678726,,,0.063678726
356,-0.050947226,,,0.050947226
357,0.031659506,,,-0.031659506
358,0.15691962,,,-0.15691962
359,-0.0740732,,,0.0740732
360,0.024141583,,,-0.024141583
361,-0.065512289,,,0.065512289
362,0.006646766,,,-0.006646766
363,-0.665104275,,,0.665104275
364,-0.032560617,,,0.032560617
365,-0.04262248,,,0.04262248
366,-0.05792661,,,0.05792661
367,-0.54368653,,,0.54368653
368,-0.156977581,,,0.156977581
369,-0.014904742,,,0.014904742
370,0.013478224,,,-0.013478224
371,-0.049866045,,,0.049866045
372,-0.177634816,,,0.177634816
373,-0.134097428,,,0.134097428
374,0.005909132,,,-0.005909132
375,0.025227074,,,-0.025227074
376,-0.064205076,,,0.064205076
377,-0.32382311,,,0.32382311
378,0.233885721,,,-0.233885721
379,0.009578997,,,-0.009578997
380,-0.020642215,,,0.020642215
381,-0.163746288,,,0.163746288
382,-0.611392518,,,0.611392518
383,-0.528689162,,,0.528689162
384,0.027224652,,,-0.027224652
385,-0.082679501,,,0.082679501
386,-0.03638375,,,0.03638375
387,0.019058978,,,-0.019058978
388,-0.172062041,,,0.172062041
389,0.036588295,,,-0.036588295
390,0.014144793,,,-0.014144793
391,-0.008106116,,,0.008106116
392,-0.649375388,,,0.649375388
393,0.253205367,,,-0.253205367
394,0.011894616,,,-0.011894616
395,-0.016147721,,,0.016147721
396,-0.088119902,,,0.088119902
397,0.020449644,,,-0.020449644
398,-0.362358802,,,0.362358802
399,0.003241148,,,-0.003241148
400,-0.037882564,,,0.037882564
401,0.013652763,,,-0.013652763
402,0.021255298,,,-0.021255298
403,0.063530209,,,-0.063530209
404,-0.192079779,,,0.192079779
405,-0.001229672,,,0.001229672
406,-0.161939298,,,0.161939298
407,-0.138392802,,,0.138392802
408,-0.14428302,,,0.14428302
409,0.029502228,,,-0.029502228
410,0.005274162,,,-0.005274162
411,-0.07644193,,,0.07644193
412,0.077005832,,,-0.077005832
413,0.10121952,,,-0.10121952
414,-0.038968825,,,0.038968825
415,-0.050613881,,,0.050613881
416,-0.114581639,,,0.114581639
417,-0.061599715,,,0.061599715
418,-0.014161022,,,0.014161022
419,-0.0093962,,,0.0093962
420,-0.067701412,,,0.067701412
421,-0.07179661,,,0.07179661
422,0.013808774,,,-0.013808774
423,0.179701627,,,-0.179701627
424,0.001615429,,,-0.001615429
425,-0.103149021,,,0.103149021
426,-0.034641461,,,0.034641461
427,0.091934965,,,-0.091934965
428,0.009025271,,,-0.009025271
429,0.122130611,,,-0.122130611
430,0.003558653,,,-0.003558653
431,-0.045096105,,,0.045096105
432,0.048340593,,,-0.048340593
433,0.143547696,,,-0.143547696
434,-0.010940188,,,0.010940188
435,-0.032806007,,,0.032806007
436,-0.038407312,,,0.038407312
437,-0.047389046,,,0.047389046
438,0.084503269,,,-0.084503269
439,-0.023214405,,,0.023214405
440,0.031718104,,,-0.031718104
441,-0.099689365,,,0.099689365
442,0.059170892,,,-0.059170892
443,0.047803879,,,-0.047803879
444,0.006898643,,,-0.006898643
445,0.006954562,,,-0.006954562
446,-0.068405506,,,0.068405506
447,0.096964914,,,-0.096964914
448,-0.286845767,,,0.286845767
449,0.032661753,,,-0.032661753
450,-0.090150788,,,0.090150788
451,-0.159194776,,,0.159194776
452,0.29182678,,,-0.29182678
453,0.224016327,,,-0.224016327
454,0.006167788,,,-0.006167788
455,-0.078835838,,,0.078835838
456,-0.044527605,,,0.044527605
457,0.034584044,,,-0.034584044
458,0.032205928,,,-0.032205928
459,0.015475487,,,-0.015475487
460,0.000708939,,,-0.000708939
461,-0.039654674,,,0.039654674
462,-0.248686081,,,0.248686081
463,-0.042978333,,,0.042978333
464,-0.013000904,,,0.013000904
465,-0.058262085,,,0.058262085
466,-0.050062136,,,0.050062136
467,-0.112524203,,,0.112524203
468,0.011802195,,,-0.011802195
469,0.028338647,,,-0.028338647
470,-0.072210685,,,0.072210685
471,-0.556828152,,,0.556828152
472,0.066356131,,,-0.066356131
473,-0.045405174,,,0.045405174
474,0.029030844,,,-0.029030844
475,-0.10018668,,,0.10018668
476,-0.065081381,,,0.065081381
477,0.004216543,,,-0.004216543
478,-1.911335125,,,1.911335125
479,0.000718365,,,-0.000718365
480,-0.113914433,,,0.113914433
481,-0.076485492,,,0.076485492
482,0.121943915,,,-0.121943915
483,-0.300414859,,,0.300414859
484,-0.272738109,,,0.272738109
485,0.023471227,,,-0.023471227
486,-0.048632546,,,0.048632546
487,0.023899431,,,-0.023899431
488,-0.025312365,,,0.025312365
489,0.020366843,,,-0.020366843
490,-0.085767505,,,0.085767505
491,-0.031082446,,,0.031082446
492,-0.150769102,,,0.150769102
493,-0.094190769,,,0.094190769
494,0.031101211,,,-0.031101211
495,-0.099822431,,,0.099822431
496,-0.154318407,,,0.154318407
497,0.014119815,,,-0.014119815
498,0.188753676,,,-0.188753676
499,-0.015974346,,,0.015974346
500,-0.150941163,,,0.150941163
501,-0.002128087,,,0.002128087
502,-0.121854555,,,0.121854555
